state_of_residence,month,month_code,year_code,sex_of_infant,births
Alabama,January,1,2025,Female,2402
Alabama,January,1,2025,Male,2600
Alabama,February,2,2025,Female,2214
Alabama,February,2,2025,Male,2194
Alabama,March,3,2025,Female,2220
Alabama,March,3,2025,Male,2292
Alabama,April,4,2025,Female,2197
Alabama,April,4,2025,Male,2375
Alabama,May,5,2025,Female,2277
Alabama,May,5,2025,Male,2375
Alabama,June,6,2025,Female,2200
Alabama,June,6,2025,Male,2395
Alabama,July,7,2025,Female,2551
Alabama,July,7,2025,Male,2535
Alabama,August,8,2025,Female,2496
Alabama,August,8,2025,Male,2515
Alabama,September,9,2025,Female,2417
Alabama,September,9,2025,Male,2530
Alabama,October,10,2025,Female,2441
Alabama,October,10,2025,Male,2553
Alabama,November,11,2025,Female,2166
Alabama,November,11,2025,Male,2274
Alabama,December,12,2025,Female,2382
Alabama,December,12,2025,Male,2516
Alaska,January,1,2025,Female,333
Alaska,January,1,2025,Male,380
Alaska,February,2,2025,Female,345
Alaska,February,2,2025,Male,312
Alaska,March,3,2025,Female,367
Alaska,March,3,2025,Male,412
Alaska,April,4,2025,Female,352
Alaska,April,4,2025,Male,351
Alaska,May,5,2025,Female,412
Alaska,May,5,2025,Male,385
Alaska,June,6,2025,Female,366
Alaska,June,6,2025,Male,412
Alaska,July,7,2025,Female,383
Alaska,July,7,2025,Male,424
Alaska,August,8,2025,Female,372
Alaska,August,8,2025,Male,416
Alaska,September,9,2025,Female,343
Alaska,September,9,2025,Male,389
Alaska,October,10,2025,Female,375
Alaska,October,10,2025,Male,409
Alaska,November,11,2025,Female,354
Alaska,November,11,2025,Male,355
Alaska,December,12,2025,Female,283
Alaska,December,12,2025,Male,270
Arizona,January,1,2025,Female,3270
Arizona,January,1,2025,Male,3482
Arizona,February,2,2025,Female,2984
Arizona,February,2,2025,Male,3264
Arizona,March,3,2025,Female,3111
Arizona,March,3,2025,Male,3286
Arizona,April,4,2025,Female,3016
Arizona,April,4,2025,Male,3011
Arizona,May,5,2025,Female,3047
Arizona,May,5,2025,Male,3244
Arizona,June,6,2025,Female,2980
Arizona,June,6,2025,Male,3189
Arizona,July,7,2025,Female,3135
Arizona,July,7,2025,Male,3293
Arizona,August,8,2025,Female,3483
Arizona,August,8,2025,Male,3557
Arizona,September,9,2025,Female,3371
Arizona,September,9,2025,Male,3475
Arizona,October,10,2025,Female,3333
Arizona,October,10,2025,Male,3603
Arizona,November,11,2025,Female,3256
Arizona,November,11,2025,Male,3338
Arizona,December,12,2025,Female,3474
Arizona,December,12,2025,Male,3422
Arkansas,January,1,2025,Female,1483
Arkansas,January,1,2025,Male,1542
Arkansas,February,2,2025,Female,1272
Arkansas,February,2,2025,Male,1442
Arkansas,March,3,2025,Female,1389
Arkansas,March,3,2025,Male,1520
Arkansas,April,4,2025,Female,1397
Arkansas,April,4,2025,Male,1423
Arkansas,May,5,2025,Female,1450
Arkansas,May,5,2025,Male,1455
Arkansas,June,6,2025,Female,1413
Arkansas,June,6,2025,Male,1487
Arkansas,July,7,2025,Female,1595
Arkansas,July,7,2025,Male,1678
Arkansas,August,8,2025,Female,1569
Arkansas,August,8,2025,Male,1609
Arkansas,September,9,2025,Female,1481
Arkansas,September,9,2025,Male,1490
Arkansas,October,10,2025,Female,1486
Arkansas,October,10,2025,Male,1591
Arkansas,November,11,2025,Female,1319
Arkansas,November,11,2025,Male,1351
Arkansas,December,12,2025,Female,1504
Arkansas,December,12,2025,Male,1598
California,January,1,2025,Female,16316
